71.01	-52.85	1.544	33.942
126.41	-54.91	1.927	33.957
53.80	3.10	15.364	35.291
72.86	0.48	13.217	35.148
85.69	4.17	13.605	35.019
71.34	-3.41	13.078	35.063
91.65	-33.70	15.077	35.559
124.93	-55.06	3.716	34.029
80.99	-24.78	18.811	35.751
64.85	3.03	14.902	35.239
58.04	17.89	16.717	35.856
57.10	-20.82	20.652	35.549
69.69	-36.61	13.014	35.253
54.28	-39.87	15.531	35.525
59.02	3.28	16.599	35.256
82.50	-15.22	18.093	35.744
76.96	-26.92	17.938	35.693
53.98	-9.59	12.389	31.488
64.40	4.17	14.290	35.192
109.83	-22.56	17.859	35.740
91.96	0.60	12.806	35.089
93.12	-16.03	19.551	35.647
72.20	-20.67	20.371	35.673
58.85	2.76	15.849	35.231
132.41	-48.94	9.045	34.603
45.69	-35.98	15.447	35.483
85.29	-37.67	12.169	35.055
114.85	-37.08	13.390	35.257
48.94	-0.03	13.996	35.193
112.52	-29.76	15.702	35.635
41.43	-44.70	5.429	34.143
101.37	-44.01	10.465	34.836
45.51	-44.20	4.016	33.982
98.30	-1.43	12.852	35.074
113.84	-37.41	12.547	35.145
52.87	-12.85	19.166	35.413
68.97	-28.57	17.636	35.799
66.40	17.85	16.953	35.848
83.59	-17.89	20.533	35.658
76.87	2.30	13.580	36.458
63.39	18.86	17.974	36.053
63.67	14.20	16.910	35.709
41.52	-5.90	12.642	35.110
81.75	0.07	13.323	35.120
22.89	-52.69	0.938	34.417
44.61	-32.54	16.505	35.522
54.60	12.65	15.290	35.560
69.36	17.65	16.825	35.711
52.97	-30.07	16.256	35.591
97.90	-12.43	15.384	34.765
82.34	-55.70	1.089	34.219
48.76	-6.32	11.698	35.000
95.19	-50.04	4.986	34.013
69.88	-9.18	14.542	35.047
43.02	-9.89	16.273	35.391
49.22	-47.03	3.339	33.977
98.51	-54.90	1.324	34.238
75.12	-6.82	12.075	28.560
115.62	-38.01	14.550	35.472
142.30	-52.05	2.219	33.903
112.87	-21.73	19.193	35.702
68.55	-28.88	16.008	35.581
139.42	-46.42	9.119	34.581
106.35	-39.50	10.267	34.778
122.68	-36.38	13.024	35.220
62.58	-37.42	13.684	35.339
71.63	-19.13	19.876	33.406
53.53	10.71	9999.000	9999.000
138.06	-39.41	11.279	34.994
52.50	-25.76	19.321	35.559
93.29	0.06	12.753	35.097
66.08	15.58	16.281	35.811
94.01	-42.40	11.136	34.924
51.16	2.78	14.196	35.172
55.70	-34.84	15.496	35.486
144.38	-50.15	8.918	34.556
112.44	-20.29	19.089	35.724
69.40	-45.93	3.057	33.835
47.69	-27.96	18.106	35.594
121.15	-55.41	2.164	34.101
55.32	-13.28	15.627	35.187
41.35	-30.91	16.043	35.541
103.10	-44.54	10.613	34.853
38.23	-20.98	20.349	35.255
125.79	-36.38	13.585	35.310
136.64	-42.45	11.082	34.989
124.92	-36.30	14.688	35.499
28.20	-51.17	1.252	34.005
64.53	-13.00	15.722	35.053
68.40	12.97	14.855	35.500
67.32	14.55	16.620	35.797
73.49	-0.19	13.110	35.120
88.66	-0.96	13.418	35.100
90.40	2.56	12.983	35.105
43.28	-44.35	4.372	34.004
65.21	-27.51	14.586	35.401
106.60	-8.78	12.503	34.568
64.40	10.89	15.274	35.637
141.57	-53.86	1.384	33.956
96.72	-41.71	10.969	34.932
96.05	-40.56	10.681	34.868
64.13	11.29	15.215	35.808
137.38	-57.64	1.801	34.141
101.82	-18.88	17.267	35.506
93.01	-9.77	13.320	34.644
117.30	-56.55	2.185	34.011
64.77	18.26	17.056	38.138
63.93	13.14	16.872	35.757
125.79	-45.26	9.429	34.656
67.62	8.12	14.524	35.235
21.63	-36.94	12.403	35.136
108.30	-36.66	11.404	34.980
29.59	-49.09	4.566	34.112
50.98	-2.64	12.986	35.110
89.75	-5.18	12.932	34.788
142.40	-41.23	11.361	35.051
88.42	-50.14	3.106	34.005
66.22	12.99	15.179	35.583
135.20	-47.41	9.172	34.599
102.97	-27.99	17.712	35.851
120.34	-43.82	9.850	34.746
112.97	-21.54	19.224	35.708
36.61	-46.50	6.680	34.114
54.15	-28.58	15.416	0.068
